Tract Code,Tract Income Level,Distressed or Under,Tract Median Family Income %,2021 FFIEC Est. MSA/MD non-MSA/MD Median Family Income,2021 Est. Tract Median Family Income,2015 Tract Median Family Income,Tract Population,Tract Minority %,Minority Population,Owner Occupied Units,1- to 4- Family Units,Total Housing Units,Median House Age (Years),Inside Principal City?,Owner Occupied Units,Vacant Units,Owner Occupied 1- to 4- Family Units,Renter Occupied Units
7024.02,Moderate,No,68.69,"$129,900 ","$89,228 ","$77,386 ",4364,54.77,2390,622,944,2004,62,No,622,101,572,1281
7025,Moderate,No,68.94,"$129,900 ","$89,553 ","$77,670 ",6462,62.3,4026,381,40,4477,13,No,381,334,19,3762
7026.01,Moderate,No,65.81,"$129,900 ","$85,487 ","$74,139 ",4522,55.09,2491,87,127,2922,42,No,87,322,0,2513
7026.02,Middle,No,84.78,"$129,900 ","$110,129 ","$95,517 ",4870,50.18,2444,495,469,2396,51,No,495,93,155,1808
7027,Middle,No,107.07,"$129,900 ","$139,084 ","$120,625 ",7098,62.83,4460,1429,1579,2690,54,No,1429,94,1394,1167
7028,Middle,No,107.3,"$129,900 ","$139,383 ","$120,885 ",4874,45.92,2238,1049,1175,2394,52,No,1049,94,933,1251
7029,Upper,No,148.98,"$129,900 ","$193,525 ","$167,835 ",5380,38.22,2056,1577,1619,2371,59,No,1577,0,1577,794
7030,Middle,No,116.2,"$129,900 ","$150,944 ","$130,909 ",1915,42.19,808,580,684,684,64,No,580,42,580,62
7031,Middle,No,96.87,"$129,900 ","$125,834 ","$109,132 ",4459,52.99,2363,1349,1442,1591,60,No,1349,38,1339,204
7032.01,Middle,No,102.16,"$129,900 ","$132,706 ","$115,092 ",7554,52.34,3954,2098,2344,2344,51,No,2098,44,2098,202
7032.02,Upper,No,136.42,"$129,900 ","$177,210 ","$153,684 ",6083,32.85,1998,1868,1773,2189,49,No,1868,76,1668,245
7032.06,Middle,No,86.61,"$129,900 ","$112,506 ","$97,571 ",3695,60.43,2233,953,1057,1368,45,No,953,39,943,376
